Project with exception,Type of exception,Line of error
1221897684_2020_11_06_03_41_35_883020.sb3,AttributeError,298
1221897684_2020_11_06_03_51_32_386648.sb3,AttributeError,298
1221897684_2020_11_06_03_51_46_756412.sb3,AttributeError,298
1223_2020_02_03_15_07_04_743329.sb3,zipfile.BadZipFile,298
1223_2020_02_03_15_07_12_590433.sb3,zipfile.BadZipFile,298
1223_2020_02_03_15_08_50_256163.sb3,zipfile.BadZipFile,298
122684281_2019_10_25_19_40_50_2572.sb3,json.decoder.JSONDecodeError,298
122966585_2019_10_23_21_55_06_540899.sb3,json.decoder.JSONDecodeError,298
122966585_2019_10_23_21_55_12_895951.sb3,json.decoder.JSONDecodeError,298
122966585_2019_10_23_21_55_30_569019.sb3,json.decoder.JSONDecodeError,298
12345_2020_07_17_13_00_57_748710.sb3,AttributeError,298
123Scratch_Project_2021_01_06_10_29_41_958134.sb3,zipfile.BadZipFile,298
